date,location,hits
2012-03-08,Virginia,NA
2012-03-08,Vermont,NA
2012-03-08,Wisconsin,NA
2012-03-08,West Virginia,NA
2012-03-08,Wyoming,NA
2012-03-09,Rhode Island,100
2012-03-09,Utah,72
2012-03-09,Mississippi,61
2012-03-09,Louisiana,59
2012-03-09,Indiana,48
2012-03-09,Arkansas,48
2012-03-09,Kentucky,45
2012-03-09,Iowa,41
2012-03-09,Oklahoma,36
2012-03-09,New Jersey,35
2012-03-09,Alabama,29
2012-03-09,Oregon,28
2012-03-09,South Carolina,26
2012-03-09,Ohio,23
2012-03-09,Wisconsin,20
2012-03-09,Missouri,20
2012-03-09,Georgia,19
2012-03-09,Illinois,19
2012-03-09,California,17
2012-03-09,Arizona,17
2012-03-09,Maryland,17
2012-03-09,North Carolina,16
2012-03-09,Washington,15
2012-03-09,Michigan,12
2012-03-09,New York,12
2012-03-09,Florida,10
2012-03-09,Texas,9
2012-03-09,Pennsylvania,9
2012-03-09,Alaska,NA
2012-03-09,Colorado,NA
2012-03-09,Connecticut,NA
2012-03-09,District of Columbia,NA
2012-03-09,Delaware,NA
2012-03-09,Hawaii,NA
2012-03-09,Idaho,NA
2012-03-09,Kansas,NA
2012-03-09,Massachusetts,NA
2012-03-09,Maine,NA
2012-03-09,Minnesota,NA
2012-03-09,Montana,NA
2012-03-09,North Dakota,NA
2012-03-09,Nebraska,NA
2012-03-09,New Hampshire,NA
2012-03-09,New Mexico,NA
2012-03-09,Nevada,NA
2012-03-09,South Dakota,NA
2012-03-09,Tennessee,NA
2012-03-09,Virginia,NA
2012-03-09,Vermont,NA
2012-03-09,West Virginia,NA
2012-03-09,Wyoming,NA
2012-03-10,Delaware,100
2012-03-10,Maine,76
2012-03-10,Nebraska,48
2012-03-10,Mississippi,48
2012-03-10,Kansas,38
2012-03-10,Arkansas,38
2012-03-10,Kentucky,35
2012-03-10,Iowa,33
2012-03-10,Indiana,30
2012-03-10,Colorado,29
2012-03-10,Oklahoma,29
2012-03-10,Utah,28
2012-03-10,Tennessee,28
2012-03-10,Arizona,26
2012-03-10,Louisiana,23
2012-03-10,Connecticut,23
2012-03-10,Alabama,22
2012-03-10,South Carolina,20
2012-03-10,North Carolina,17
2012-03-10,Minnesota,17
2012-03-10,Wisconsin,16
2012-03-10,Georgia,15
2012-03-10,Michigan,14
2012-03-10,Washington,12
2012-03-10,Pennsylvania,10
2012-03-10,New Jersey,9
2012-03-10,California,9
2012-03-10,Texas,8
2012-03-10,Ohio,7
2012-03-10,Illinois,6
2012-03-10,New York,6
2012-03-10,Florida,5
2012-03-10,Alaska,NA
2012-03-10,District of Columbia,NA
2012-03-10,Hawaii,NA
2012-03-10,Idaho,NA
2012-03-10,Massachusetts,NA
2012-03-10,Maryland,NA
2012-03-10,Missouri,NA
2012-03-10,Montana,NA
2012-03-10,North Dakota,NA
2012-03-10,New Hampshire,NA
2012-03-10,New Mexico,NA
2012-03-10,Nevada,NA
2012-03-10,Oregon,NA
2012-03-10,Rhode Island,NA
2012-03-10,South Dakota,NA
2012-03-10,Virginia,NA
2012-03-10,Vermont,NA
2012-03-10,West Virginia,NA
2012-03-10,Wyoming,NA
2012-03-11,District of Columbia,100
2012-03-11,Delaware,77
2012-03-11,Maine,58
2012-03-11,Hawaii,54
2012-03-11,South Carolina,47
2012-03-11,Connecticut,35
2012-03-11,Kansas,29
2012-03-11,Oklahoma,21
2012-03-11,Maryland,20
2012-03-11,Louisiana,18
2012-03-11,Kentucky,18
2012-03-11,Alabama,17
2012-03-11,Arizona,17
2012-03-11,Oregon,16
2012-03-11,New Jersey,14
2012-03-11,Minnesota,12
2012-03-11,Missouri,12
2012-03-11,Washington,12
2012-03-11,Indiana,11
2012-03-11,Pennsylvania,11
2012-03-11,California,11
2012-03-11,Tennessee,11
2012-03-11,Ohio,9
2012-03-11,North Carolina,9
2012-03-11,Florida,8
2012-03-11,Illinois,8
2012-03-11,New York,7
2012-03-11,Virginia,7
2012-03-11,Michigan,7
2012-03-11,Georgia,6
2012-03-11,Texas,5
2012-03-11,Alaska,NA
2012-03-11,Arkansas,NA
2012-03-11,Colorado,NA
2012-03-11,Iowa,NA
2012-03-11,Idaho,NA
2012-03-11,Massachusetts,NA
2012-03-11,Mississippi,NA
2012-03-11,Montana,NA
2012-03-11,North Dakota,NA
2012-03-11,Nebraska,NA
2012-03-11,New Hampshire,NA
2012-03-11,New Mexico,NA
2012-03-11,Nevada,NA
